artist_name,track_name,track_id,track_popularity,artist_id,is_running,genre
Florence + The Machine,Dog Days Are Over,456WNXWhDwYOSf5SpTuqxd,84,1moxjboGR7GNWYIMWsRjgG,1,"['baroque pop', 'modern rock', 'uk alternative pop']"
Britney Spears,Work Bitch,3KliPMvk1EvFZu9cvkj8p1,71,26dSoYclwsYLMAKD3tpOr4,1,"['dance pop', 'pop']"
David Guetta,Play Hard (feat. Ne-Yo & Akon) - R3hab Remix,7vHyJPO7x2OsrsNR8AkCVF,53,1Cs0zKBU1kc0i8ypK3B9ai,1,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']"
Calvin Harris,This Is What You Came For,0azC730Exh71aQlOt9Zj3y,85,7CajNmpbOovFoOoasH2HaY,1,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
Jax Jones,You Don't Know Me (feat. RAYE),4DJORZgsbqnEJ4f4B9TBGV,68,4Q6nIcaBED8qUel8bBx6Cr,1,"['dance pop', 'edm', 'house', 'pop dance', 'uk dance', 'uk pop']"
Nathan Dawe,0800 HEAVEN,2Vewxhl9sD0IhO9Az4qLS5,80,2gduEC76ry33RVurAvT05p,1,"['pop dance', 'uk dance']"
Joel Corry,Lionheart (Fearless),5vlzH0ps6WDyb158oFTAb3,76,6DgP9otnZw5z6daOntINxp,1,"['dance pop', 'pop dance', 'uk dance']"
Bill Conti,"Going The Distance - From ""Rocky"" Soundtrack / Remastered 2006",0WKpYDw1WNmQbFiEURDgeI,63,272ygo5fv9cYsiCLcV0HV2,1,['theme']
Bruce Springsteen,Born to Run,6hTcuIQa0sxrrByu9wTD7s,75,3eqjTLE0HfPfh78zjh6TqT,1,"['heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']"
DJ Fluke,Never Enough,5EVSnz1AT8TZqJnMGE7H0q,46,6CnCjQXjKiV9Ro5GGA8ztB,1,[]
Sigala,Came Here for Love,0mGJTKRIuCOJtiT4YkJHiv,65,1IueXOQyABrMOprrzwQJWN,1,"['dance pop', 'edm', 'pop dance', 'uk dance', 'uk pop']"
Eminem,Till I Collapse,4xkOaSrkexMciUUogZKVTS,86,7dGJo4pcD2V6oG8kP0tJRR,1,"['detroit hip hop', 'hip hop', 'rap']"
Rudimental,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen) - NEIKED Remix",1ld1GrVodTteGGLDwbGHku,50,4WN5naL3ofxrVBgFpguzKo,1,"['pop dance', 'uk dance', 'uk funky']"
P!nk,Raise Your Glass,1gv4xPanImH17bKZ9rOveR,81,1KCSPY1glIKqW2TotWuXOR,1,"['dance pop', 'pop']"
Calvin Harris,Sweet Nothing (feat. Florence Welch),24LS4lQShWyixJ0ZrJXfJ5,76,7CajNmpbOovFoOoasH2HaY,1,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
Jax Jones,Where Did You Go? (feat. MNEK),3sa06xVNmLLYIxdNNmVQN8,80,4Q6nIcaBED8qUel8bBx6Cr,1,"['dance pop', 'edm', 'house', 'pop dance', 'uk dance', 'uk pop']"
