danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,audio_features,6cx06DFPPHchuUAcTxznu9,spotify:track:6cx06DFPPHchuUAcTxznu9,https://api.spotify.com/v1/tracks/6cx06DFPPHchuUAcTxznu9,https://api.spotify.com/v1/audio-analysis/6cx06DFPPHchuUAcTxznu9,166028,4
0.7,0.865,10,-4.629,0,0.0466,0.00123,0.0724,0.183,0.261,125.009,audio_features,2fzhcIVl8mja7p55XW4wbK,spotify:track:2fzhcIVl8mja7p55XW4wbK,https://api.spotify.com/v1/tracks/2fzhcIVl8mja7p55XW4wbK,https://api.spotify.com/v1/audio-analysis/2fzhcIVl8mja7p55XW4wbK,147506,4
0.7,0.852,5,-5.829,0,0.0317,0.00135,0.641,0.0856,0.449,135.035,audio_features,7Ewp4wV3NqvQb1qBeUc6ek,spotify:track:7Ewp4wV3NqvQb1qBeUc6ek,https://api.spotify.com/v1/tracks/7Ewp4wV3NqvQb1qBeUc6ek,https://api.spotify.com/v1/audio-analysis/7Ewp4wV3NqvQb1qBeUc6ek,150500,4
0.641,0.748,6,-6.202,0,0.0705,0.0756,0.0,0.0833,0.515,114.019,audio_features,404MLvCUTawxMkDquPsq24,spotify:track:404MLvCUTawxMkDquPsq24,https://api.spotify.com/v1/tracks/404MLvCUTawxMkDquPsq24,https://api.spotify.com/v1/audio-analysis/404MLvCUTawxMkDquPsq24,159342,4
0.593,0.852,5,-3.609,0,0.119,0.292,0.000162,0.141,0.397,125.928,audio_features,0b02ZHphmQGm0lRtHyDDTH,spotify:track:0b02ZHphmQGm0lRtHyDDTH,https://api.spotify.com/v1/tracks/0b02ZHphmQGm0lRtHyDDTH,https://api.spotify.com/v1/audio-analysis/0b02ZHphmQGm0lRtHyDDTH,179346,4
0.703,0.699,1,-4.479,1,0.0417,0.000612,0.872,0.0702,0.687,124.035,audio_features,7cgG4VayFME68jToNQyEJH,spotify:track:7cgG4VayFME68jToNQyEJH,https://api.spotify.com/v1/tracks/7cgG4VayFME68jToNQyEJH,https://api.spotify.com/v1/audio-analysis/7cgG4VayFME68jToNQyEJH,202319,4
0.701,0.88,10,-4.56,0,0.0358,0.182,7.33e-06,0.0649,0.623,124.039,audio_features,4q05KbxYZ5JdkmrletgPjF,spotify:track:4q05KbxYZ5JdkmrletgPjF,https://api.spotify.com/v1/tracks/4q05KbxYZ5JdkmrletgPjF,https://api.spotify.com/v1/audio-analysis/4q05KbxYZ5JdkmrletgPjF,181958,4
0.707,0.934,0,-5.911,1,0.0395,0.0967,0.207,0.085,0.546,135.99,audio_features,1WumDA51R5dHvmRVhmoP6t,spotify:track:1WumDA51R5dHvmRVhmoP6t,https://api.spotify.com/v1/tracks/1WumDA51R5dHvmRVhmoP6t,https://api.spotify.com/v1/audio-analysis/1WumDA51R5dHvmRVhmoP6t,191166,4
0.853,0.745,7,-7.731,1,0.0775,0.00608,0.00127,0.0885,0.663,124.003,audio_features,6gxVV1r9nHe9M6BNAwDD38,spotify:track:6gxVV1r9nHe9M6BNAwDD38,https://api.spotify.com/v1/tracks/6gxVV1r9nHe9M6BNAwDD38,https://api.spotify.com/v1/audio-analysis/6gxVV1r9nHe9M6BNAwDD38,145161,4
0.721,0.806,8,-5.24,1,0.0474,0.00941,0.0,0.382,0.403,124.987,audio_features,52jJKR0TEmEqEibvZcxozY,spotify:track:52jJKR0TEmEqEibvZcxozY,https://api.spotify.com/v1/tracks/52jJKR0TEmEqEibvZcxozY,https://api.spotify.com/v1/audio-analysis/52jJKR0TEmEqEibvZcxozY,128640,4
